ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais.
Reune - Quadro de Informações Prévias - 01/06/2020
Prévia (Acumulado) - Abrangência : Até 16:12:47
CETIP;;ISIN;Tipo;Agrupamento;Taxa Mínima;Taxa Média;Taxa Máxima;Preço Mínimo;Preço Médio;Preço Máximo;Faixa de Volume
15I0011480;;BRRBRACRI366;CRI;TOTAL;--;--;--;863,109458;864,329534;865,549609;Até 1MM
15I0011480;;BRRBRACRI366;CRI;SUBTOTAL;--;--;--;863,109458;864,329534;865,549609;Até 1MM
18G0687521;;BRRBRACRI4Y5;CRI;TOTAL;--;--;--;1.181,919585;1.181,919585;1.181,919585;Até 1MM
18G0687521;;BRRBRACRI4Y5;CRI;SUBTOTAL;--;--;--;1.181,919585;1.181,919585;1.181,919585;Até 1MM
18L1085826;;BRRBRACRI549;CRI;TOTAL;--;--;--;1.116,635786;1.116,635786;1.116,635786;Até 1MM
18L1085826;;BRRBRACRI549;CRI;SUBTOTAL;--;--;--;--;--;--;--
19E0309835;;BRCBSCCRI4M4;CRI;TOTAL;--;--;--;919,980000;922,335000;924,690000;Superior a 5MM
19E0309835;;BRCBSCCRI4M4;CRI;SUBTOTAL;--;--;--;919,980000;922,335000;924,690000;Superior a 5MM
19K1145372;;--;CRI;TOTAL;--;--;--;993,309264;1.000,297639;1.007,286013;Até 1MM
19K1145372;;--;CRI;SUBTOTAL;--;--;--;993,309264;1.000,297639;1.007,286013;Até 1MM
